00.0,03.4,03.4
11.8,18.1,06.3
19.4,27.6,08.2
28.7,37.2,08.2
01:03.5,01:24.7,21.3
01:49.0,01:59.5,10.7
02:08.4,02:18.8,10.5
02:29.1,02:46.0,17.1
04:13.2,04:21.8,08.6
04:29.9,04:57.5,27.6
05:20.8,06:15.1,54.4
06:31.8,07:10.3,38.6
07:21.1,07:33.6,12.6
07:38.1,07:54.0,15.9
07:58.3,08:00.1,01.8
08:16.9,08:42.3,25.5
08:43.5,08:50.5,07.0
08:55.0,09:05.1,10.2
09:10.7,09:17.1,06.6
09:26.2,09:30.1,04.0
09:45.6,09:50.0,04.5
09:56.8,10:02.9,06.1
10:09.2,10:13.5,04.4
10:18.1,10:22.0,04.0
10:24.5,10:29.4,05.2
10:31.6,10:38.2,06.7
10:43.1,10:48.6,05.7
10:53.0,10:58.6,05.7
11:02.9,11:06.5,03.6
11:10.6,11:15.8,05.4
11:18.2,11:25.6,07.5
11:33.6,11:41.8,08.3
11:46.3,11:58.2,12.0
12:03.8,12:07.6,03.8
12:14.6,12:19.9,05.3
13:22.8,13:45.6,22.8
14:07.2,14:21.9,14.7
14:26.3,14:43.0,16.8
15:54.8,16:03.7,09.0
16:16.7,16:25.1,08.4
16:29.9,16:37.0,07.2
17:00.4,17:09.7,09.3
17:11.7,17:31.3,19.7
17:40.4,17:51.3,11.0
20:03.8,20:13.2,09.5
20:20.4,20:31.1,10.8
20:42.7,20:57.3,14.7
20:58.7,21:02.6,03.9
21:04.1,21:12.2,08.0
21:14.6,21:25.5,11.0
21:28.3,21:30.9,02.7
21:31.9,21:33.5,01.6
21:36.5,21:41.6,05.2
21:43.9,21:48.7,04.8
21:55.2,21:58.7,03.5
22:00.4,22:08.0,07.7
22:16.4,22:22.1,05.8
22:32.4,22:37.5,05.2
22:38.9,22:44.0,04.9
22:47.8,22:49.7,02.0
25:10.7,25:37.4,26.8
25:41.9,25:57.9,16.10
26:00.8,26:03.4,02.6
26:06.7,26:15.7,09.1
26:26.6,26:35.5,09.0
26:38.6,26:40.6,02.1
27:02.1,27:10.4,08.4
30:09.6,30:21.5,12.0
31:11.2,31:21.2,10.1
31:24.9,31:31.8,07.0
31:39.2,31:42.4,03.3
32:16.1,32:21.1,05.0
33:21.7,33:42.3,20.7
33:47.8,33:52.4,04.8
34:02.6,34:12.7,10.2
34:16.1,34:18.3,02.3
34:26.2,34:31.0,04.9
34:36.8,34:40.1,03.3
35:03.7,35:11.3,07.6
35:41.0,35:42.6,01.7
35:46.8,35:50.4,03.7
35:55.8,35:57.8,02.1
48:13.3,48:24.1,10.9
55:33.0,55:46.4,13.4
58:33.3,58:44.7,11.4
58:46.5,58:47.6,01.3
58:53.2,59:01.6,08.5
01:00:25.7,01:00:32.8,07.3
01:00:44.7,01:00:47.7,03.1
01:01:48.8,01:01:51.9,03.2
01:02:30.2,01:02:32.8,02.7
01:06:25.2,01:06:33.8,08.3
